video_id,category,log_views,title_len,word_count,caps_ratio,exclaim_cnt,question_cnt,has_number,has_bracket,tag_cnt,hour_bin,publish_weekday,publish_time,sent_compound,sent_pos,sent_neg,sent_abs,chan_mean_oof,chan_mean_naive,chan_freq,chan_freq_log,trending_lag,days_on_trending,log_likes,log_comment_count,comments_disabled,ratings_disabled
CJUgcgFNNWA,Entertainment,12.038428841562208,33,6,0.5925925925925926,0,1,0,0,26,06-11,5,2018-02-24 14:30:01+00:00,-0.516,0.0,0.455,0.516,14.338087615654246,13.992960599596062,7,2.0794415416798357,2,9,8.3654396361887,6.771935555839602,0,0
u7pV4vxD1bs,News & Politics,12.040678999756867,62,10,0.0196078431372549,0,0,0,0,4,12-17,2,2017-11-08 20:16:47+00:00,0.0,0.0,0.0,0.0,11.862224524797275,12.040678999756867,1,0.6931471805599453,6,1,4.060443010546419,4.382026634673881,0,0
RZfqUAZddmk,Howto & Style,12.041262858727285,59,11,0.2,0,0,0,0,16,18-23,4,2018-03-10 02:29:37+00:00,0.1531,0.167,0.0,0.1531,12.326448961035116,12.335965410372006,6,1.9459101490553132,2,12,8.546169299652755,6.461468176353717,0,0
XgbFJUpbk8A,Entertainment,12.041699056036853,62,11,0.2653061224489796,0,1,0,0,44,00-05,0,2018-03-19 05:30:33+00:00,0.0,0.0,0.0,0.0,11.783846349384897,11.715723688606868,21,3.091042453358316,1,1,7.427144133408616,6.535241271013659,0,0
LRrzLpfdY1g,Music,12.04208793641979,35,7,0.2307692307692307,0,1,0,0,7,12-17,0,2017-12-11 20:27:43+00:00,0.0,0.0,0.0,0.0,13.916679602245638,12.04208793641979,1,0.6931471805599453,2,5,8.865170419651774,5.891644211825772,0,0
wgiW1uFZYr8,Education,12.043059476268986,86,15,0.1343283582089552,0,0,1,0,17,12-17,5,2017-11-25 22:44:41+00:00,0.2023,0.13,0.0,0.2023,12.8507357250372,12.043059476268986,1,0.6931471805599453,3,4,8.925188429378027,6.677083461247136,0,0
ZeGNvhAsUW8,Music,12.0431712899757,37,7,0.2142857142857142,0,0,0,1,6,18-23,1,2017-12-13 00:01:00+00:00,0.0,0.0,0.0,0.0,13.513633545705538,12.77840241784062,2,1.0986122886681098,1,5,9.372459221452615,6.796823718274855,0,0
mjBIsBPG1N8,People & Blogs,12.043424295893267,77,13,0.1612903225806451,0,0,0,0,19,06-11,3,2017-11-16 15:23:10+00:00,0.0,0.0,0.0,0.0,12.876015892073228,12.747887504307212,5,1.791759469228055,1,4,8.724695046740491,5.755742213586912,0,0
aVpvVq_yZLM,News & Politics,12.044000674954903,73,12,0.1833333333333333,0,0,0,0,10,06-11,0,2017-11-20 16:13:29+00:00,-0.34,0.0,0.194,0.34,12.775059591904323,12.61546724959576,18,2.9444389791664403,1,7,6.546785410760524,7.1372784372603855,0,0
Vkuj0IaeH3s,News & Politics,12.045469526753358,68,11,0.0689655172413793,0,0,0,0,14,06-11,1,2018-01-16 16:41:24+00:00,-0.4019,0.0,0.291,0.4019,12.74714260136794,12.513251576496414,3,1.3862943611198906,1,6,7.469083884921234,6.835184586147301,0,0
uxSAnJsb-SI,News & Politics,12.047299632495204,50,6,0.1333333333333333,0,0,0,0,22,12-17,0,2018-01-15 22:38:16+00:00,0.4767,0.383,0.0,0.4767,12.702320626131042,12.692579448183356,15,2.772588722239781,3,5,7.415175109613295,5.929589143389895,0,0
Lok8svIS218,People & Blogs,12.052449326623698,36,7,0.6428571428571429,1,1,0,0,10,06-11,1,2018-01-16 16:00:02+00:00,0.0,0.0,0.0,0.0,13.965461287477678,13.008955307050687,2,1.0986122886681098,1,6,8.748939631537715,6.679599185844383,0,0
Ali918UJSpU,Howto & Style,12.052659193883429,30,5,0.3478260869565217,3,0,0,0,11,18-23,6,2017-12-11 03:13:56+00:00,0.2905,0.352,0.0,0.2905,14.011829966373954,13.599709813632431,9,2.302585092994046,1,3,8.696510239189893,6.678342114654332,0,0
z5JQMBcVFns,Entertainment,12.05466819137094,73,15,0.2363636363636363,0,0,0,0,40,06-11,2,2018-03-28 14:14:46+00:00,-0.3818,0.0,0.167,0.3818,12.403591100736543,12.28219213576126,13,2.6390573296152584,7,3,7.1770187659099,4.07753744390572,0,0
2X5fG1A4kuc,Sports,12.055412533244295,93,16,0.1733333333333333,0,0,0,0,27,00-05,0,2018-02-05 05:20:52+00:00,0.5994,0.231,0.0,0.5994,12.7885529084914,12.8714411811656,84,4.442651256490317,1,1,7.345364840416867,5.68697535633982,0,0
