video_id,channel_title,category,log_views,chan_mean_oof,chan_mean_naive,chan_freq
BFkTu8Y1KLs,Jason Mraz,Music,14.55507699908349,13.898679705772594,14.55507699908349,1
enH3xA4mYcY,Annapurna Channel,Film & Animation,14.555202526579546,13.494482443847836,14.555202526579546,1
yN0O8UaTnRA,Jimmy Kimmel Live,Entertainment,14.555635308556042,13.554440215499124,13.533943661262422,70
54BVvP7zvDQ,Saturday Night Live,Entertainment,14.555984928306392,14.025551415632712,13.802374104853937,35
QfNG-YJ3YmU,WWE,Sports,14.556425952108563,14.491787190913328,14.352186395843471,34
r2ys-AimNbE,Hamilton: An American Musical,Film & Animation,14.556578953838352,13.479570579668463,14.018074766753408,2
ve3oQBjcAGI,CinemaSins,Film & Animation,14.55678720829269,14.488880843495503,14.500435159138913,14
qNNcSwZAPSE,The Voice,Entertainment,14.558191911564684,13.639368902126842,13.618093457995895,18
L8gV7LSt6sI,IGN,Gaming,14.558453111587578,12.581132721418689,12.916236207545467,10
Z9cB0TjfIkM,Screen Junkies,Film & Animation,14.561799847799794,14.304599180960045,14.303603152258713,25
y0BlGqwLLGQ,Foot Locker,Entertainment,14.562071957160992,13.172545308154465,14.562071957160992,1
9JQ2gHDPnDY,FBE,Entertainment,14.564319004419495,14.567104815109523,14.437865814258712,25
TzMJabl_ykk,Simply Nailogical,Entertainment,14.564903847451676,14.693503903056918,14.640814956050933,12
fNtLIcyjsnI,Zero Media,Film & Animation,14.568100485731334,13.494482443847836,14.568100485731334,1
AOvCyD9bbDM,RemyMaVEVO,Music,14.568153252550063,14.152899090949996,14.256712631350014,4
hpsugpjc3dE,Recanto Ecológico Rio da Prata,Pets & Animals,14.569970594041736,12.644766878078006,14.569970594041736,1
gwrfwx1QcDQ,AmazingPhil,Howto & Style,14.570634387116872,13.605338758509236,14.06449565511234,3
dH4ZXmeEJXs,James Charles,Entertainment,14.570932292571214,14.541140869889949,14.559442019281677,14
1lPvUKtHBJA,Late Night with Seth Meyers,Comedy,14.571915596212312,12.965997190019284,12.949443931388277,37
_0Wz8e4W-oE,Domics,Comedy,14.575792417974537,14.753558223754693,14.728163108643242,7
0HX039UdGpU,Smosh,Comedy,14.576989057900487,14.189146543223556,14.207023879627824,16
ZHbT3LWwsQ0,The Film Theorists,Film & Animation,14.577666876545536,15.230236571651519,15.153454281279215,12
euaGS3tPRBw,HBO,Film & Animation,14.578047131386178,13.214737036654189,13.640474701261617,13
BfawmhUVXVo,Britain's Got Talent,Entertainment,14.57863099594246,15.295345928498161,15.124740297366097,9
WemDKlmMAIs,IFC Films,Film & Animation,14.579124123856223,11.710366521053881,12.666619055321329,3
9QojtREFuFU,Primitive Survival Tool,People & Blogs,14.580802570693272,16.247691747954374,15.414247159323823,2
oWithLP0VlQ,Beats by Dre,Music,14.582029940065118,15.090206935248991,14.836118437657055,2
USXoINPEhoA,Marques Brownlee,Science & Technology,14.582515822315589,14.224131860328706,14.266957195628072,22
YKWGQyz-oLw,WatchMojo.com,Entertainment,14.585726181299991,13.162542846384161,14.585726181299991,1
yh1NAMi2oLg,Lyft,Travel & Events,14.585915032069565,12.569757597959656,14.585915032069565,1
zuRd_Eneuk8,Jordan Wilson,Film & Animation,14.587035830724629,13.438457549654078,14.587035830724629,1
fA8bw85NmlY,Hulu,Entertainment,14.587637111827323,14.814929193487405,14.77704717987739,6
IZNAp5g-nPQ,Daily Dose Of Internet,Entertainment,14.587860709101848,15.035437313425383,14.728015938254263,5
UEhsFEgsI5U,HBO,Film & Animation,14.58909329210062,13.214737036654189,13.640474701261617,13
I7LJIuB2CHE,The Verge,Science & Technology,14.5895785221147,12.232131290973532,12.625783184741401,18
CaE0JD1X12g,Screen Junkies,Film & Animation,14.592249525374346,14.31780139532836,14.303603152258713,25
5n9xafjynJA,The Verge,Science & Technology,14.592989236176107,12.232131290973532,12.625783184741401,18
X9Qh8vsSE-c,Guava Juice,Entertainment,14.593822536636017,14.139701655789736,14.10508977859848,9
qmxMAdV6s4U,Warner Bros. Pictures,Entertainment,14.594169157806196,14.614267122837292,14.698221815456565,24
Zq5ESvmKagc,radiodisney,Music,14.5944789492135,13.933932782863671,14.5944789492135,1
AenmqoozqoA,David Guetta,Music,14.595430211978671,15.933846491786912,15.654726446970859,4
EL1wN_ihL_E,Saturday Night Live,Entertainment,14.595741904531332,13.70120242222748,13.802374104853937,35
9Rr9u6QGgVc,James Charles,Entertainment,14.595843183696438,14.612520854756474,14.559442019281677,14
qPEIPu0V8GQ,Fortnite,Gaming,14.596422706492827,15.278206310268517,15.050945109009954,3
23ILq4uxd-w,TheEllenShow,Entertainment,14.59660634284574,13.511785671848614,13.630704438024322,74
RnaEqiVnad0,INSIDER,Pets & Animals,14.597060938145871,12.369667715394879,12.55242646442726,34
fbHbTBP_u7U,NFVEVO,Music,14.597294793383226,15.203590324299302,14.900442558841263,2
eMkZ8GEVgUw,CrazyRussianHacker,Science & Technology,14.597585777543111,13.94338321066682,13.986996715125239,15
fupYIggOq38,Universal Pictures,Entertainment,14.597895884422698,15.185881424072928,15.334985176536026,14
THCVReSmm90,TheEllenShow,Entertainment,14.598624577164678,13.670762618256436,13.630704438024322,74
9dHLFD_Jveo,WWE,Sports,14.600662005269292,14.385044305105316,14.352186395843471,34
a7JQzSn8Ptg,TheEllenShow,Entertainment,14.601136185482158,13.707488171116994,13.630704438024322,74
Z_kfM-BmVzQ,Chilly Willy,People & Blogs,14.602738071467735,12.946110650285968,14.602738071467735,1
3uGIEY7tdg8,Amazon Studios,Film & Animation,14.60358148003452,12.787531714118675,13.6692227115212,5
lUZPV3gGXgY,Simply Nailogical,Entertainment,14.60561156679802,14.606360762360945,14.640814956050933,12
6Km34EXxGZ4,TheReportOfTheWeek,Entertainment,14.606204506209227,13.634950129530576,13.796825858977018,6
